county,Median_Income ,Education_Level,Homeownership,Population_Density
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
Genesee County,48370,20.9,71.34,245.5
